I suspect that the food procesing machine will not function. Should I start and check it?,machine
Food machine not working what to do?,machine
My mixi is not working what shall i do?,machine
my fridge is out of order? what is that you recommend that i shall do,machine
my television is not functioning properly can you suggest me what to do,machine
i think the machine wont function what is that i can do,machine
i think my dish washing machine wont turn on shall i switch it on?,machine
none of my appliances are functioning what is that i could possibly do?,machine
my machine got wet shall i start it to check?,machine
what should i do with my food processing machine i am skeptic it will work,machine
my cycle got stolen,no machine
i am out of my mind,no machine
what is the weather today,no machine
what is your name,no machine
how are you?,no machine
what is a chatbot?,no machine
my balance got over how to recharge?,no machine
my shoes got stolen should i buy a new one?,no machine
i dont know you,no machine
sing me a song,no machine 
I suspect that the food procesing machine will not function. Should I start and check it?,machine
Food machine not working what to do?,machine
My mixi is not working what shall i do?,machine
my fridge is out of order? what is that you recommend that i shall do,machine
my television is not functioning properly can you suggest me what to do,machine
i think the machine wont function what is that i can do,machine
i think my dish washing machine wont turn on shall i switch it on?,machine
none of my appliances are functioning what is that i could possibly do?,machine
my machine got wet shall i start it to check?,machine
what should i do with my food processing machine i am skeptic it will work,machine
my cycle got stolen,no machine
i am out of my mind,no machine
what is the weather today,no machine
what is your name,no machine
how are you?,no machine
what is a chatbot?,no machine
my balance got over how to recharge?,no machine
my shoes got stolen should i buy a new one?,no machine
i dont know you,no machine
sing me a song,no machine 
I suspect that the food procesing machine will not function. Should I start and check it?,machine
Food machine not working what to do?,machine
My mixi is not working what shall i do?,machine
my fridge is out of order? what is that you recommend that i shall do,machine
my television is not functioning properly can you suggest me what to do,machine
i think the machine wont function what is that i can do,machine
i think my dish washing machine wont turn on shall i switch it on?,machine
none of my appliances are functioning what is that i could possibly do?,machine
my machine got wet shall i start it to check?,machine
what should i do with my food processing machine i am skeptic it will work,machine
my cycle got stolen,no machine
i am out of my mind,no machine
what is the weather today,no machine
what is your name,no machine
how are you?,no machine
what is a chatbot?,no machine
my balance got over how to recharge?,no machine
my shoes got stolen should i buy a new one?,no machine
i dont know you,no machine
sing me a song,no machine 
I suspect that the food procesing machine will not function. Should I start and check it?,machine
Food machine not working what to do?,machine
My mixi is not working what shall i do?,machine
my fridge is out of order? what is that you recommend that i shall do,machine
my television is not functioning properly can you suggest me what to do,machine
i think the machine wont function what is that i can do,machine
i think my dish washing machine wont turn on shall i switch it on?,machine
none of my appliances are functioning what is that i could possibly do?,machine
my machine got wet shall i start it to check?,machine
what should i do with my food processing machine i am skeptic it will work,machine
my cycle got stolen,no machine
i am out of my mind,no machine
what is the weather today,no machine
what is your name,no machine
how are you?,no machine
what is a chatbot?,no machine
my balance got over how to recharge?,no machine
my shoes got stolen should i buy a new one?,no machine
i dont know you,no machine
sing me a song,no machine 
I suspect that the food procesing machine will not function. Should I start and check it?,machine
Food machine not working what to do?,machine
My mixi is not working what shall i do?,machine
my fridge is out of order? what is that you recommend that i shall do,machine
my television is not functioning properly can you suggest me what to do,machine
i think the machine wont function what is that i can do,machine
i think my dish washing machine wont turn on shall i switch it on?,machine
none of my appliances are functioning what is that i could possibly do?,machine
my machine got wet shall i start it to check?,machine
what should i do with my food processing machine i am skeptic it will work,machine
my cycle got stolen,no machine
i am out of my mind,no machine
what is the weather today,no machine
what is your name,no machine
how are you?,no machine
what is a chatbot?,no machine
my balance got over how to recharge?,no machine
my shoes got stolen should i buy a new one?,no machine
i dont know you,no machine
sing me a song,no machine 
